Season,Winner Country,Winner Club,Score,Runner-up Club,Runner-up Country,Venue,Team Logo,,,Key
1955–56,Spain,Real Madrid,4–3,Reims,France,"Parc des Princes, Paris, France",https://drive.google.com/file/d/16wO1wDeCUjgHnSCW6Ko7RW4yJpG3A3ic/view?usp=sharing,,,† Match was won during extra time
1956–57,Spain,Real Madrid,2–0,Fiorentina,Italy,"Santiago Bernabéu, Madrid, Spain",https://drive.google.com/file/d/16wO1wDeCUjgHnSCW6Ko7RW4yJpG3A3ic/view?usp=sharing,,,* Match was won on a penalty-shoot-out
1957–58,Spain,Real Madrid,3–2†,Milan,Italy,"Heysel Stadium, Brussels, Belgium",https://drive.google.com/file/d/16wO1wDeCUjgHnSCW6Ko7RW4yJpG3A3ic/view?usp=sharing,,,& Match was won after a replay
1958–59,Spain,Real Madrid,2–0,Reims,France,"Neckarstadion, Stuttgart, West Germany",https://drive.google.com/file/d/16wO1wDeCUjgHnSCW6Ko7RW4yJpG3A3ic/view?usp=sharing,,,
1959–60,Spain,Real Madrid,7–3,Eintracht Frankfurt,West Germany,"Hampden Park, Glasgow, Scotland",https://drive.google.com/file/d/16wO1wDeCUjgHnSCW6Ko7RW4yJpG3A3ic/view?usp=sharing,,,
1960–61,Portugal,Benfica,3–2,Barcelona,Spain,"Wankdorf Stadium, Bern, Switzerland",https://drive.google.com/file/d/17cFUAndGn2hLad5dqCeNAJc52Ll8Y6zl/view?usp=sharing,,,
1961–62,Portugal,Benfica,5–3,Real Madrid,Spain,"Olympisch Stadion, Amsterdam, Netherlands",https://drive.google.com/file/d/17cFUAndGn2hLad5dqCeNAJc52Ll8Y6zl/view?usp=sharing,,,
1962–63,Italy,Milan,2–1,Benfica,Portugal,"Wembley Stadium, London, England",https://drive.google.com/file/d/1b0LI2XIN_mtZEnamyPbM-uwDUcQzSbnJ/view?usp=sharing,,,
1963–64,Italy,Inter Milan,3–1,Real Madrid,Spain,"Praterstadion, Vienna, Austria",https://drive.google.com/file/d/1ZLbLeL3F_0IwktoalJU4JeY6mowd8arB/view?usp=sharing,,,
1964–65,Italy,Inter Milan,1–0,Benfica,Portugal,"San Siro, Milan, Italy",https://drive.google.com/file/d/1ZLbLeL3F_0IwktoalJU4JeY6mowd8arB/view?usp=sharing,,,
1965–66,Spain,Real Madrid,2–1,Partizan,Yugoslavia,"Heysel Stadium, Brussels, Belgium",https://drive.google.com/file/d/16wO1wDeCUjgHnSCW6Ko7RW4yJpG3A3ic/view?usp=sharing,,,
1966–67,Scotland,Celtic,2–1,Inter Milan,Italy,"Estádio Nacional, Lisbon, Portugal",https://drive.google.com/file/d/1alCLnhY6i89QiVU45sOqi7TMfmTga1cU/view?usp=sharing,,,
1967–68,England,Manchester United,4–1†,Benfica,Portugal,"Wembley Stadium, London, England",https://drive.google.com/file/d/1VzpKnwMvRNWaNxxkHJwSLJT0nVcHFEyR/view?usp=sharing,,,
1968–69,Italy,Milan,4–1,Ajax,Netherlands,"Santiago Bernabéu, Madrid, Spain",https://drive.google.com/file/d/1b0LI2XIN_mtZEnamyPbM-uwDUcQzSbnJ/view?usp=sharing,,,
1969–70,Netherlands,Feyenoord,2–1†,Celtic,Scotland,"San Siro, Milan, Italy",https://drive.google.com/file/d/1afLA8mwbgGl4uMaeLZq-sp5KSSQWJ8IF/view?usp=sharing,,,
